2026-04-24 20:36:29,471 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:36:37,097 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:36:37,099 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:36:37,108 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-24 20:36:37,119 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-24 20:36:48,493 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:36:48,579 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:36:48,592 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:55:26,419 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:55:26,441 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:55:26,486 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:55:26,500 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:56:22,577 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:56:27,953 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:56:33,591 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 20:56:33,594 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:56:33,604 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-24 20:56:33,616 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-24 20:56:44,949 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:56:45,026 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 20:56:45,037 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 21:25:46,504 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 21:25:46,522 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 21:25:46,556 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 21:25:46,572 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:01:54,795 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:02:01,710 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:02:09,788 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:02:17,241 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:02:17,346 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:02:17,358 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:11:55,918 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:11:55,942 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:11:55,980 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:11:55,998 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:26:04,190 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:26:17,157 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:26:17,160 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:26:17,170 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-24 22:26:17,182 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-24 22:26:21,631 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:26:21,719 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:26:21,732 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:31:32,618 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-24 22:31:32,661 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:31:32,700 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-24 22:31:32,721 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 09:56:40,718 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 09:57:01,621 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 09:57:01,623 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 09:57:01,631 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-25 09:57:01,640 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-25 09:57:09,032 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 09:57:09,106 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 09:57:09,117 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:27:22,373 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:27:22,493 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:27:22,777 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:27:47,803 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:27:47,938 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:27:48,158 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:42:12,406 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:42:12,494 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:42:12,717 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:43:07,451 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:43:07,540 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:43:07,737 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:51:31,734 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:52:00,819 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-25 11:52:00,828 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:52:00,859 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-25 11:52:00,897 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-25 11:52:14,910 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:52:15,123 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-25 11:52:15,154 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 14:56:57,805 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 14:57:24,868 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 14:57:24,871 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 14:57:24,881 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-26 14:57:24,897 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-26 14:57:32,246 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 14:57:32,343 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 14:57:32,358 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 15:31:34,580 | INFO | verify_llm | Calling LLM provider=siliconflow model=Qwen/Qwen2.5-7B-Instruct endpoint=https://api.siliconflow.cn/v1/chat/completions
2026-04-26 16:22:46,995 | INFO | verify_llm | Calling LLM provider=siliconflow model=Qwen/Qwen2.5-7B-Instruct endpoint=https://api.siliconflow.cn/v1/chat/completions
2026-04-26 16:24:09,428 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:09,533 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:09,549 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:24:11,340 | INFO | app | Calling LLM provider=siliconflow model=Qwen/Qwen2.5-7B-Instruct endpoint=https://api.siliconflow.cn/v1/chat/completions
2026-04-26 16:24:30,127 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:30,196 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:30,211 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:24:30,752 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:30,794 | WARNING | app | Configured port 8001 is unavailable, falling back to 8002.
2026-04-26 16:24:30,818 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:30,833 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:24:56,219 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:24:56,284 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
